feature,importance
gold_1d,0.08515936363050663
usdjpy_1d,0.0654217370699126
tnx_1d,0.06508553012755802
qqq_ma50_diff,0.06454894285099524
vix_1d,0.06379072655646344
vix_3d,0.06361781157386422
vix_5d,0.05953662928387865
qqq_ma5_diff,0.05834358537821384
spy_20d,0.05683692113844487
qqq_ma20_diff,0.05683309079820572
spy_3d,0.054280632484931306
spy_5d,0.05232146048156332
qqq_3d,0.05169265327625896
spy_1d,0.05143102935082291
qqq_1d,0.05119495665514398
qqq_20d,0.05061461789620077
qqq_5d,0.04929031144703555
